IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,Pillaje,LesionadosCiviles,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,TotalCombatientesMuertos,TotalCivilesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,Estado
490206,Cr2017203550,30,10,2012,Patia,Cauca,Patía,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
500379,,17,6,2017,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Otra,0,0,0,0,0,0,0,9,,,,0,3,3,3,Publicado
500471,Cr2017500471,24,12,2001,Ariari guayabero,Meta,Granada,Desconocida,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
511101,,15,8,2009,Magdalena medio,Antioquia,Puerto berrío,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo posdesmovilización,No identificado,0,0,0,0,0,0,0,7,,,,,7,7,0,Publicado
511102,Cr2017511102,24,10,2011,Centro occidente de nariño,Nariño,Túquerres,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,1,,,,,1,1,1,Publicado
511104,Cr2017511104,11,4,2012,Patia,Cauca,Balboa,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,,,,,,0,0,0,Publicado
511105,,27,6,2012,Alta guajira,La guajira,Maicao,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo posdesmovilización,No identificado,0,0,0,0,0,0,0,7,,,,,0,0,0,Publicado
511123,Cr2017511123,29,3,1988,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo paramilitar,Otro,0,0,0,0,0,0,0,1,,,,,0,0,0,Publicado
511170,Cr2017511170,4,8,1976,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
511185,,11,11,1975,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
