IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
290320,,16,10,1998,Magdalena medio,Santander,Barrancabermeja,Sicariato,Arma de fuego,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,4,Publicado
290321,,16,10,1998,Magdalena medio,Santander,Barrancabermeja,Sicariato,Arma de fuego,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,4,Publicado
290322,,11,10,1998,Sierra nevada de santa marta,Magdalena,Zona bananera,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas campesinas del magdalena medio,0,0,0,0,0,0,0,0,0,,,5,Publicado
290323,Cr020889,22,10,1998,Oriente antioqueño,Antioquia,Sonsón,Asalto,Arma de fuego,Grupo paramilitar,Autodefensas campesinas de córdoba y urabá (accu),0,0,0,0,0,0,1,0,0,,,4,Publicado
290325,,25,10,1998,Sierra nevada de santa marta,Magdalena,Santa marta,Interceptación,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,1,0,,,4,Publicado
290326,Cr020891,25,10,1998,Sur de bolivar,Bolívar,Altos del rosario,Reunión pública,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,1,0,,,11,Publicado
290327,,25,10,1998,Sur de bolivar,Bolívar,Barranco de loba,Ataque indiscriminado,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,13,Publicado
290328,,26,10,1998,Bajo putumayo,Putumayo,Valle del guamuez,Falso positivo,Nd,Agente del estado,Ejército nacional,0,0,0,0,0,0,0,0,1,,,6,Publicado
290329,,26,10,1998,Centro del huila,Huila,Gigante,Retención/ejecución,Nd,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,5,Publicado
290330,,26,10,1998,Centro del huila,Huila,Gigante,Asalto,Arma de fuego,Guerrilla,No identificada,0,0,0,0,0,0,0,0,0,,,5,Publicado
290331,,28,10,1998,Provincia de soto,Santander,El playón,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
290333,,29,10,1998,Alta guajira,La guajira,Maicao,Asalto,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,5,Publicado
290334,,31,10,1998,Valle de aburra,Antioquia,Barbosa,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,4,Publicado
290336,,2,11,1998,Bajo cauca antioqueño,Antioquia,Caucasia,Retención/ejecución,Nd,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,8,Publicado
290337,Cr020899,3,11,1998,Montes de maria,Sucre,Coloso,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,0,0,,,7,Publicado
290338,Cr2017290338,5,11,1998,Altillanura,Meta,Puerto gaitán,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas campesinas de meta y vichada,0,0,0,0,0,0,0,0,0,,,17,Publicado
290339,,5,11,1998,Noroccidente de cundinamarca,Cundinamarca,La peña,Retención/ejecución,Nd,Grupo armado no identificado,No aplica,0,1,0,0,1,0,0,0,0,,,4,Publicado
290340,Cr002160,6,11,1998,Nordeste antioqueño,Antioquia,Vegachí,Incursión,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,0,7,,,7,Publicado
290341,Cr020904,7,11,1998,Sur de bolivar,Bolívar,Barranco de loba,Incursión,Arma corto punzante - arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,1,,,10,Publicado
290342,,7,11,1998,Magdalena medio,Bolívar,Tiquisio,Incursión,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,13,Publicado
290343,,7,11,1998,Centro del valle,Valle del cauca,Tuluá,Falso positivo,Nd,Agente del estado,Ejército nacional,0,0,0,0,0,0,0,0,0,,,5,Publicado
290344,,7,11,1998,Centro del valle,Valle del cauca,Tuluá,Falso positivo,Nd,Agente del estado,Ejército nacional,0,0,0,0,0,0,0,0,0,,,5,Publicado
290345,,8,11,1998,Centro del valle,Valle del cauca,Tuluá,Falso positivo,Arma de fuego,Agente del estado,Ejército nacional,0,0,0,0,0,0,0,0,0,,,5,Publicado
290346,,8,11,1998,Magdalena medio,Santander,Barrancabermeja,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas campesinas del magdalena medio,0,0,0,0,1,0,0,0,0,,,4,Publicado
290349,,9,11,1998,Catatumbo,Norte de santander,Ocaña,Retén,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,1,0,,,5,Publicado
290350,,9,11,1998,Area metropolitana de cucuta,Norte de santander,Cúcuta,Asalto,Nd,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,4,Publicado
290351,,11,11,1998,Sur de bolivar,Bolívar,Barranco de loba,Incursión,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,6,Publicado
290352,Cr040168,14,11,1998,Occidente antioqueño,Antioquia,Olaya,Retención/ejecución,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,Ocultamiento de cadáver,6,Publicado
290353,,15,11,1998,Piedemonte llanero,Casanare,Yopal,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,6,Publicado
290354,Cr020914,16,11,1998,Serrania del perija,Cesar,Becerril,Incursión,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,1,0,0,1,0,,1,,,,8,Publicado
290355,Cr002155,18,11,1998,Nordeste antioqueño,Antioquia,Yolombó,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,0,0,,,14,Publicado
290357,,26,11,1998,Magdalena medio,Bolívar,Simití,Ruta,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,21,0,0,,,4,Publicado
290358,,27,11,1998,Norte del tolima,Tolima,Coello,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,8,Publicado
290359,,27,11,1998,Cienaga grande de santa marta,Magdalena,Chivolo,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,5,Publicado
290360,,28,11,1998,Macizo colombiano,Cauca,La sierra,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,4,0,0,,,5,Publicado
290361,,30,11,1998,Uraba,Antioquia,Apartadó,Retención/ejecución,Arma de fuego - uso de químicos y tóxicos,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,3,,,4,Publicado
290362,,1,12,1998,La mojana,Sucre,Majagual,Asalto,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,5,Publicado
290363,,2,12,1998,Magdalena medio,Santander,Cimitarra,Atentado,Artefacto explosivo,Grupo paramilitar,Otro,0,0,0,0,0,0,0,0,0,,,5,Publicado
290364,,3,12,1998,Sierra nevada de santa marta,La guajira,Dibulla,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,1,,,5,Publicado
290365,,3,12,1998,Eje cafetero,Caldas,Manizales,Asalto,Asfixia mecánica,Guerrilla,No identificada,0,1,0,0,0,0,0,0,0,,Venta a bajo precio,4,Publicado
290366,,7,12,1998,Morrosquillo y sabanas de sucre,Sucre,Sincelejo,Retención/ejecución,Nd,Grupo paramilitar,Otro,0,0,0,0,1,0,0,0,0,,,7,Publicado
290367,Cr020924,8,12,1998,Serrania del perija,La guajira,Villanueva,Incursión,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,11,Publicado
290368,Cr020925,9,12,1998,Alto sinu y san jorge,Córdoba,Tierralta,Ruta,Arma corto punzante - arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,6,Publicado
290369,Cr021633,9,12,1998,Alto sinu y san jorge,Córdoba,Tierralta,Ruta,Arma corto punzante - arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,6,Publicado
290370,,13,12,1998,Suroeste antioqueño,Antioquia,Andes,Ruta,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,7,Publicado
290372,,13,12,1998,Suroeste antioqueño,Antioquia,Urrao,Ruta,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
290373,,14,12,1998,Sur de bolivar,Bolívar,San martín de loba,Retén,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,8,Publicado
290374,,14,12,1998,Cienaga grande de santa marta,Magdalena,Pivijay,Reunión pública,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,6,Publicado
290375,Cr020928,19,12,1998,Oriente antioqueño,Antioquia,San carlos,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,7,Publicado
290376,Cr020932,28,12,1998,Alto sinu y san jorge,Córdoba,Tierralta,Incursión,Arma corto punzante - arma de fuego,Grupo paramilitar - guerrilla,,1,1,0,0,1,0,1,0,5,,,19,Publicado
290377,,31,12,1998,Sierra nevada de santa marta,Cesar,El copey,Ruta,Arma corto punzante,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,1,,,5,Publicado
290378,,0,0,1999,Centro del valle,Valle del cauca,Guadalajara de buga,Desconocida,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,5,Publicado
290380,Cr012245,1,1,1999,Nordeste antioqueño,Antioquia,Remedios,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,10,Publicado
290381,,5,1,1999,Sierra nevada de santa marta,La guajira,Fonseca,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,5,Publicado
290382,,5,1,1999,Piedemonte llanero,Meta,Cubarral,Ruta,Arma de fuego,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,5,Publicado
290383,,5,1,1999,Sierra nevada de santa marta,La guajira,Fonseca,Desconocida,Nd,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,5,Publicado
290384,,5,1,1999,Sierra nevada de santa marta,La guajira,Fonseca,Asalto,Nd,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,5,Publicado
290385,,5,1,1999,Sierra nevada de santa marta,La guajira,Fonseca,Asalto,Nd,Grupo armado no identificado,No aplica,0,1,0,0,0,0,0,0,0,,,5,Publicado
290386,,5,1,1999,Occidente antioqueño,Antioquia,Armenia,Ruta,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,5,Publicado
290387,,6,1,1999,Ariari guayabero,Meta,El dorado,Asalto,Arma de fuego,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,7,Publicado
290388,Cr037135,7,1,1999,Suroeste antioqueño,Antioquia,Salgar,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,1,0,0,0,1,0,1,,Desaparicion forzada - daño a bien civil,7,Publicado
290389,,7,1,1999,Nordeste antioqueño,Antioquia,Caracolí,Retención/ejecución,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,3,0,0,,,5,Publicado
290390,,7,1,1999,Occidente antioqueño,Antioquia,Dabeiba,Retención/ejecución,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,4,,,4,Publicado
290391,,7,1,1999,Occidente antioqueño,Antioquia,Dabeiba,Reunión pública,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,4,Publicado
290392,,7,1,1999,Suroeste antioqueño,Antioquia,Salgar,Asalto,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,4,Publicado
290393,,8,1,1999,Uraba,Antioquia,Apartadó,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,8,Publicado
290394,,8,1,1999,Uraba,Antioquia,Chigorodó,Asalto,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,4,Publicado
